"Delay (s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
3.166666667E-3;NaN;8.705380565E-5;1.989163641E-7;5.764651485E-4;8.890405964E-7;2.576464344E-3;9.296376333E-8;2.694115685E-4;1.525102801E-7;4.419790281E-4;8.311962234E-7;2.408829744E-3
3.187500000E-3;NaN;8.820301838E-5;2.119751702E-7;6.224195456E-4;8.195866543E-7;2.406540127E-3;9.827206011E-8;2.885547914E-4;1.553976693E-7;4.562918697E-4;7.639298057E-7;2.243115749E-3
3.208333333E-3;NaN;8.935976692E-5;2.272916587E-7;6.761457269E-4;7.165144272E-7;2.131482391E-3;1.071283874E-7;3.186848200E-4;1.681663378E-7;5.002601121E-4;6.696412485E-7;1.992044368E-3
3.229166667E-3;NaN;9.052405128E-5;2.485595487E-7;7.490472538E-4;6.139670494E-7;1.850221947E-3;1.217930448E-7;3.670297367E-4;1.953785401E-7;5.887834914E-4;5.629292081E-7;1.696416732E-3
3.250000000E-3;NaN;9.169587147E-5;2.777534756E-7;8.478598437E-4;5.457300456E-7;1.665875072E-3;1.430748213E-7;4.367448343E-4;2.401920420E-7;7.332012202E-4;4.634130570E-7;1.414597320E-3
3.270833333E-3;NaN;9.287522747E-5;3.133711595E-7;9.688882683E-4;5.329745433E-7;1.647863138E-3;1.686855968E-7;5.215460672E-4;3.015335515E-7;9.322884754E-4;3.882046269E-7;1.200260130E-3
3.291666667E-3;NaN;9.406211930E-5;3.500808840E-7;1.096220549E-3;5.766294972E-7;1.805620167E-3;1.930838522E-7;6.046102376E-4;3.727220708E-7;1.167117691E-3;3.461098553E-7;1.083785928E-3
3.312500000E-3;NaN;9.525654695E-5;3.796422041E-7;1.203882503E-3;6.570108533E-7;2.083445577E-3;2.091776740E-7;6.633228316E-4;4.426429125E-7;1.403663903E-3;3.355964521E-7;1.064209123E-3
3.333333333E-3;NaN;9.645851042E-5;3.930540126E-7;1.262140107E-3;7.407698552E-7;2.378694313E-3;2.111534637E-7;6.780372335E-4;4.993179384E-7;1.603365380E-3;3.464196000E-7;1.112391827E-3
3.354166667E-3;NaN;9.766800971E-5;3.838136884E-7;1.247922398E-3;7.929296769E-7;2.578112073E-3;1.969870111E-7;6.404787288E-4;5.345545887E-7;1.738037658E-3;3.636797842E-7;1.182459516E-3
3.375000000E-3;NaN;9.888504482E-5;3.509394262E-7;1.155254207E-3;7.896463504E-7;2.599429418E-3;1.692764276E-7;5.572394852E-4;5.478046072E-7;1.803312851E-3;3.729843789E-7;1.227823780E-3
3.395833333E-3;NaN;1.001096158E-4;2.997438409E-7;9.989433148E-4;7.263340098E-7;2.420621893E-3;1.340047997E-7;4.465919913E-4;5.475505798E-7;1.824798099E-3;3.652948775E-7;1.217402415E-3
3.416666667E-3;NaN;1.013417225E-4;2.401069268E-7;8.100424028E-4;6.176509475E-7;2.083752703E-3;9.804998741E-8;3.307886551E-4;5.491813455E-7;1.852758613E-3;3.399437055E-7;1.146859108E-3
3.437500000E-3;NaN;1.025813651E-4;1.836988366E-7;6.273207632E-4;4.900707771E-7;1.673562989E-3;6.686186464E-8;2.283293501E-4;5.696041799E-7;1.945164899E-3;3.047160889E-7;1.040587589E-3
3.458333333E-3;NaN;1.038285435E-4;1.409945919E-7;4.873421771E-4;3.713429724E-7;1.283532156E-3;4.329322263E-8;1.496412953E-4;6.202074580E-7;2.143722313E-3;2.730994426E-7;9.439573182E-4
3.479166667E-3;NaN;1.050832577E-4;1.186568652E-7;4.150889581E-4;2.817313055E-7;9.855607923E-4;2.771160577E-8;9.694155958E-5;7.008998169E-7;2.451908487E-3;2.597310122E-7;9.085987149E-4
3.500000000E-3;NaN;1.063455077E-4;1.183086722E-7;4.188422769E-4;2.298356221E-7;8.136755613E-4;1.890407124E-8;6.692513822E-5;7.980145450E-7;2.825170993E-3;2.752983835E-7;9.746251023E-4
3.520833333E-3;NaN;1.076152936E-4;1.367507969E-7;4.899126383E-4;2.132327406E-7;7.639108280E-4;1.513799974E-8;5.423220603E-5;8.875931791E-7;3.179821441E-3;3.222078840E-7;1.154316597E-3
3.541666667E-3;NaN;1.088926153E-4;1.670448355E-7;6.055447788E-4;2.223032832E-7;8.058590503E-4;1.488583708E-8;5.396180551E-5;9.433184619E-7;3.419570367E-3;3.924395870E-7;1.422610536E-3
3.562500000E-3;NaN;1.101774728E-4;2.004427470E-7;7.351871960E-4;2.446866177E-7;8.974655910E-4;1.704916802E-8;6.253321817E-5;9.461538518E-7;3.470318620E-3;4.687093617E-7;1.719139886E-3
3.583333333E-3;NaN;1.114698661E-4;2.290794129E-7;8.500771121E-4;2.685701696E-7;9.966210029E-4;2.082952481E-8;7.729503963E-5;8.917380694E-7;3.309097545E-3;5.291778704E-7;1.963694556E-3
3.604166667E-3;NaN;1.127697952E-4;2.484976957E-7;9.328889311E-4;2.848512020E-7;1.069364175E-3;2.551391624E-8;9.578217609E-5;7.925137025E-7;2.975187592E-3;5.546892225E-7;2.082367140E-3
3.625000000E-3;NaN;1.140772602E-4;2.588014976E-7;9.828350810E-4;2.886301583E-7;1.096113615E-3;3.032033823E-8;1.151457482E-4;6.738259984E-7;2.558948986E-3;5.358922816E-7;2.035126299E-3
3.645833333E-3;NaN;1.153922610E-4;2.636555389E-7;1.012810896E-3;2.794365847E-7;1.073432475E-3;3.433516962E-8;1.318957077E-4;5.655160490E-7;2.172383021E-3;4.767022143E-7;1.831212038E-3
3.666666667E-3;NaN;1.167147976E-4;2.674827990E-7;1.039289555E-3;2.596599519E-7;1.008894317E-3;3.661961951E-8;1.422834972E-4;4.920576164E-7;1.911862532E-3;3.919420003E-7;1.522868868E-3
3.687500000E-3;NaN;1.180448700E-4;2.726472269E-7;1.071427985E-3;2.324266025E-7;9.133720857E-4;3.652405735E-8;1.435294157E-4;4.646659047E-7;1.826008133E-3;3.006221695E-7;1.181361750E-3
3.708333333E-3;NaN;1.193824783E-4;2.785062126E-7;1.106853799E-3;2.007185055E-7;7.977058690E-4;3.405203226E-8;1.353313483E-4;4.781644969E-7;1.900346082E-3;2.189117579E-7;8.700104340E-4
3.729166667E-3;NaN;1.207276224E-4;2.828255760E-7;1.136684951E-3;1.678948391E-7;6.747746778E-4;2.998339632E-8;1.205042198E-4;5.136705498E-7;2.064458215E-3;1.562832323E-7;6.281072623E-4
