"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
7.328244275E2;1.885824571E-5;4.059375716E-2;1.020485389E-5;2.196669654E-2;2.256754856E-5;4.857830362E-2;4.190286137E-5;9.019898270E-2;6.628435082E-6;1.426819271E-2;1.904878622E-6;4.100390959E-3
7.272727273E2;1.857578187E-5;4.059853226E-2;9.883562900E-6;2.160114444E-2;2.254035702E-5;4.926335905E-2;3.592137029E-5;7.850839986E-2;5.676236967E-6;1.240577066E-2;1.502003747E-6;3.282723065E-3
7.218045113E2;1.741062215E-5;3.863073226E-2;9.505134876E-6;2.109001719E-2;2.141333193E-5;4.751195480E-2;3.030519915E-5;6.724125216E-2;4.951954378E-6;1.098740884E-2;1.141190115E-6;2.532075499E-3
7.164179104E2;1.568311822E-5;3.532298371E-2;8.972827985E-6;2.020944127E-2;1.945412188E-5;4.381639036E-2;2.543003466E-5;5.727589929E-2;4.559314281E-6;1.026891348E-2;8.686884530E-7;1.956541272E-3
7.111111111E2;1.390094727E-5;3.177805417E-2;8.258292509E-6;1.887874701E-2;1.721313338E-5;3.934982805E-2;2.157114817E-5;4.931240309E-2;4.500793482E-6;1.028897213E-2;6.987939119E-7;1.597467450E-3
7.058823529E2;1.249802496E-5;2.899576508E-2;7.390180698E-6;1.714542450E-2;1.523047383E-5;3.533512235E-2;1.886147674E-5;4.375914996E-2;4.675035580E-6;1.084621241E-2;6.197428164E-7;1.437820549E-3
7.007299270E2;1.163837168E-5;2.739988405E-2;6.428861358E-6;1.513528358E-2;1.378639198E-5;3.245690651E-2;1.727996370E-5;4.068172204E-2;4.907363892E-6;1.155326581E-2;6.076711348E-7;1.430622693E-3
6.956521739E2;1.118706139E-5;2.672326768E-2;5.440914243E-6;1.299706891E-2;1.283773689E-5;3.066634458E-2;1.666825467E-5;3.981655378E-2;5.010712290E-6;1.196941727E-2;6.421287742E-7;1.533895143E-3
6.906474820E2;1.084446732E-5;2.628168422E-2;4.482243158E-6;1.086276493E-2;1.215391479E-5;2.945514437E-2;1.677070750E-5;4.064399159E-2;4.859983582E-6;1.177822294E-2;7.165670685E-7;1.736608066E-3
6.857142857E2;1.034793354E-5;2.544046646E-2;3.592250353E-6;8.831572438E-3;1.154094027E-5;2.837348181E-2;1.728933890E-5;4.250595976E-2;4.444926621E-6;1.092788297E-2;8.402126330E-7;2.065668593E-3
6.808510638E2;9.619960389E-6;2.398981380E-2;2.796005411E-6;6.972549416E-3;1.099969507E-5;2.743053254E-2;1.794290007E-5;4.474517713E-2;3.875906110E-6;9.665556002E-3;1.031176087E-6;2.571499395E-3
6.760563380E2;8.788149287E-6;2.222744184E-2;2.109124818E-6;5.334507608E-3;1.072242180E-5;2.711970396E-2;1.851595771E-5;4.683151818E-2;3.348424633E-6;8.469008817E-3;1.305166638E-6;3.301094984E-3
6.713286713E2;8.084106375E-6;2.073573636E-2;1.541076164E-6;3.952861030E-3;1.094179419E-5;2.806570685E-2;1.888429882E-5;4.843823468E-2;3.095082426E-6;7.938887766E-3;1.667072316E-6;4.276041214E-3
6.666666667E2;7.692502878E-6;2.000819999E-2;1.095813087E-6;2.850209839E-3;1.173728205E-5;3.052867062E-2;1.900886842E-5;4.944206677E-2;3.342153643E-6;8.692941626E-3;2.109658867E-6;5.487222714E-3
6.620689655E2;7.639628550E-6;2.014761371E-2;7.708561130E-7;2.032940619E-3;1.292244246E-5;3.407971700E-2;1.890342251E-5;4.985305922E-2;4.261551685E-6;1.123877903E-2;2.617577933E-6;6.903208540E-3
6.575342466E2;7.778986721E-6;2.079907925E-2;5.563606041E-7;1.487570131E-3;1.408356054E-5;3.765594445E-2;1.859230021E-5;4.971119497E-2;5.909324711E-6;1.580006721E-2;3.171120724E-6;8.478789541E-3
