"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
8.261617900E1;NaN;1.147222362E-3;1.734620981E-9;2.937867597E-4;1.165780225E-8;1.974441671E-3;NaN;9.868539368E-3;1.316931667E-7;2.230441643E-2;4.320155747E-8;7.316898459E-3
8.254514187E1;NaN;1.149197777E-3;1.969080204E-9;3.340705587E-4;1.106013601E-8;1.876442519E-3;NaN;9.885532115E-3;1.130849821E-7;1.918579196E-2;4.251310799E-8;7.212696422E-3
8.247422680E1;NaN;1.151174891E-3;2.374862537E-9;4.036080365E-4;1.096452171E-8;1.863421151E-3;NaN;9.902539479E-3;1.072124739E-7;1.822076663E-2;4.818927623E-8;8.189770507E-3
8.240343348E1;NaN;1.153153704E-3;2.956298779E-9;5.032868031E-4;1.153762447E-8;1.964190554E-3;NaN;9.919561460E-3;1.226367344E-7;2.087794726E-2;5.918885061E-8;1.007644005E-2
8.233276158E1;NaN;1.155134217E-3;3.743902934E-9;6.384649333E-4;1.294863025E-8;2.208189286E-3;NaN;9.936598059E-3;1.652532679E-7;2.818139747E-2;7.360605741E-8;1.255237846E-2
8.226221080E1;NaN;1.157116429E-3;4.779598664E-9;8.164855652E-4;1.526492104E-8;2.607664065E-3;NaN;9.953649275E-3;2.356625926E-7;4.025758618E-2;8.942865642E-8;1.527684900E-2
8.219178082E1;NaN;1.159100340E-3;6.103759292E-9;1.044475968E-3;1.832631130E-8;3.136000427E-3;NaN;9.970715109E-3;3.270779312E-7;5.596961193E-2;1.053652455E-7;1.803011252E-2
8.212147134E1;NaN;1.161085951E-3;7.772303364E-9;1.332275783E-3;2.170838755E-8;3.721105272E-3;NaN;9.987795560E-3;4.252836023E-7;7.289924462E-2;1.211394713E-7;2.076491053E-2
8.205128205E1;NaN;1.163073260E-3;9.899812874E-9;1.699863611E-3;2.484093148E-8;4.265352894E-3;NaN;1.000489063E-2;5.117181715E-7;8.786540817E-2;1.370704401E-7;2.353590480E-2
8.198121264E1;NaN;1.165062269E-3;1.270354301E-8;2.185012976E-3;2.723979430E-8;4.685252292E-3;NaN;1.002200031E-2;5.695767322E-7;9.796735838E-2;1.533421659E-7;2.637489573E-2
8.191126280E1;NaN;1.167052978E-3;1.650359532E-8;2.843473317E-3;2.874316811E-8;4.952280397E-3;NaN;1.003912462E-2;5.907255120E-7;1.017785639E-1;1.695478218E-7;2.921210185E-2
8.184143223E1;NaN;1.169045385E-3;2.163346746E-8;3.733683726E-3;2.958652113E-8;5.106287871E-3;NaN;1.005626354E-2;5.792978159E-7;9.998003474E-2;1.847963035E-7;3.189368289E-2
8.177172061E1;NaN;1.171039492E-3;2.824006522E-8;4.882219008E-3;3.022351922E-8;5.225123911E-3;NaN;1.007341708E-2;5.490073025E-7;9.491387030E-2;1.982780491E-7;3.427884647E-2
8.170212766E1;NaN;1.173035299E-3;3.604850495E-8;6.242784725E-3;3.097333490E-8;5.363880201E-3;NaN;1.009058523E-2;5.155163683E-7;8.927576091E-2;2.098855001E-7;3.634741568E-2
8.163265306E1;NaN;1.175032804E-3;4.423535362E-8;7.673606322E-3;3.174371719E-8;5.506654045E-3;NaN;1.010776800E-2;4.887444917E-7;8.478360665E-2;2.204854197E-7;3.824810185E-2
8.156329652E1;NaN;1.177032009E-3;5.153148535E-8;8.954492034E-3;3.204227728E-8;5.567903094E-3;NaN;1.012496539E-2;4.695103425E-7;8.158558973E-2;2.317107867E-7;4.026378010E-2
8.149405772E1;NaN;1.179032913E-3;5.655604894E-8;9.844303862E-3;3.127395135E-8;5.443631333E-3;NaN;1.014217740E-2;4.515684274E-7;7.860126188E-2;2.454948847E-7;4.273152540E-2
8.142493639E1;NaN;1.181035516E-3;5.826126367E-8;1.015834313E-2;2.911927243E-8;5.077190956E-3;NaN;1.015940403E-2;4.271225124E-7;7.447241554E-2;2.635026385E-7;4.594390935E-2
8.135593220E1;NaN;1.183039819E-3;5.631237305E-8;9.835200364E-3;2.576616411E-8;4.500172395E-3;NaN;1.017664527E-2;3.924415767E-7;6.854162468E-2;2.862952936E-7;5.000271563E-2
8.128704488E1;NaN;1.185045821E-3;5.122965418E-8;8.962653102E-3;2.186499461E-8;3.825291521E-3;NaN;1.019390113E-2;3.503228379E-7;6.128915216E-2;3.122141035E-7;5.462201039E-2
8.121827411E1;NaN;1.187053522E-3;4.420689522E-8;7.747120931E-3;1.823998244E-8;3.196500208E-3;NaN;1.021117161E-2;3.081592686E-7;5.400395364E-2;3.366910250E-7;5.900405524E-2
8.114961961E1;NaN;1.189062922E-3;3.667542641E-8;6.438134261E-3;1.552033407E-8;2.724494417E-3;NaN;1.022845670E-2;2.733610560E-7;4.798676805E-2;3.530742887E-7;6.197991125E-2
8.108108108E1;NaN;1.191074022E-3;2.981873024E-8;5.243338778E-3;1.389858679E-8;2.443933679E-3;NaN;1.024575641E-2;2.494419420E-7;4.386198194E-2;3.552137221E-7;6.246093877E-2
8.101265823E1;NaN;1.193086821E-3;2.425452520E-8;4.272133802E-3;1.312683120E-8;2.312128512E-3;NaN;1.026307074E-2;2.347886739E-7;4.135511297E-2;3.404750302E-7;5.997045389E-2
8.094435076E1;NaN;1.195101319E-3;1.999524926E-8;3.527861838E-3;1.271201321E-8;2.242844073E-3;NaN;1.028039969E-2;2.240759722E-7;3.953484454E-2;3.112072285E-7;5.490784790E-2
