"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
2.681041667E2;1.855654908E-8;1.333841856E-3;8.091622751E-7;5.816245825E-2;NaN;2.460456310E-1;NaN;2.220396029E-2;9.768393559E-7;7.021506069E-2;4.131103024E-7;2.969430416E-2
2.684583333E2;1.910046412E-8;1.376568095E-3;7.960084626E-7;5.736823178E-2;NaN;2.466961149E-1;NaN;2.226266207E-2;1.273109420E-6;9.175283896E-2;4.876226031E-7;3.514290090E-2
2.688125000E2;1.842667816E-8;1.331514715E-3;8.639209397E-7;6.242706546E-2;NaN;2.473474575E-1;NaN;2.232144135E-2;1.693775410E-6;1.223924824E-1;5.660077829E-7;4.089981304E-2
2.691666667E2;1.690412402E-8;1.224715524E-3;1.036721920E-6;7.511122305E-2;NaN;2.479996588E-1;NaN;2.238029813E-2;2.230862802E-6;1.616275592E-1;6.278156119E-7;4.548567707E-2
2.695208333E2;1.511744845E-8;1.098153823E-3;1.346833816E-6;9.783600116E-2;NaN;2.486527188E-1;NaN;2.243923239E-2;2.837211400E-6;2.060992341E-1;6.590582398E-7;4.787496569E-2
2.698750000E2;1.362587367E-8;9.924066568E-4;1.829070698E-6;1.332158202E-1;NaN;2.493066376E-1;NaN;2.249824416E-2;3.425599997E-6;2.494950653E-1;6.556835763E-7;4.775508432E-2
2.702291667E2;1.280583535E-8;9.351307914E-4;2.499286070E-6;1.825073724E-1;NaN;2.499614151E-1;NaN;2.255733341E-2;3.891332316E-6;2.841598826E-1;6.235879389E-7;4.553676250E-2
2.705833333E2;1.282679179E-8;9.391179253E-4;3.326496797E-6;2.435505949E-1;NaN;2.506170513E-1;NaN;2.261650016E-2;4.151436484E-6;3.039488348E-1;5.750703774E-7;4.210397337E-2
2.709375000E2;1.378722128E-8;1.012080330E-3;4.215469397E-6;3.094455054E-1;NaN;2.512735462E-1;NaN;2.267574441E-2;4.180838595E-6;3.069033577E-1;5.231630350E-7;3.840389635E-2
2.712916667E2;1.597983723E-8;1.176102731E-3;5.015087424E-6;3.691062639E-1;NaN;2.519308999E-1;NaN;2.273506615E-2;4.024649232E-6;2.962108366E-1;4.764462489E-7;3.506604771E-2
